County,Population,Population Density,Average Household Income
Alameda,"1,559,308",2109.8,"$73,775"
Alpine,"1,202",1.6,"$61,343"
Amador,"37,159",62.5,"$52,964"
Butte,"221,578",135.4,"$43,165"
Calaveras,"44,921",44.0,"$54,936"
Colusa,"21,424",18.6,"$50,503"
Contra Costa,"1,081,232",1496.0,"$79,799"
Del Norte,"28,066",27.9,"$39,302"
El Dorado,"181,465",106.3,"$68,507"
Fresno,"948,844",159.2,"$45,201"
Glenn,"28,019",21.3,"$40,106"
Humboldt,"134,876",37.8,"$42,153"
Imperial,"177,026",42.4,"$41,772"
Inyo,"18,439",1.8,"$45,625"
Kern,"857,730",105.5,"$48,574"
Kings,"151,390",109.0,"$47,341"
Lake,"64,209",51.1,"$35,997"
Lassen,"33,356",7.3,"$53,351"
Los Angeles,"9,974,203","2,457.9","$55,870"
Madera,"152,452",71.3,"$45,490"
Marin,"256,802",493.4,"$91,529"
Mariposa,"17,946",12.4,"$50,560"
Mendocino,"87,612",25.0,"$43,290"
Merced,"261,609",135.2,"$43,066"
Modoc,"9,335",2.4,"$38,560"
Mono,"14,193",4.7,"$61,814"
Monterey,"424,927",129.5,"$58,582"
Napa,"139,253",186.1,"$70,925"
Nevada,"98,606",103.0,"$56,949"
Orange,"3,086,331","3,903.6","$75,998"
Placer,"361,518",256.9,"$73,747"
Plumas,"19,286",7.6,"$48,032"
Riverside,"2,266,899",314.6,"$56,592"
Sacramento,"1,450,277","1,503.0","$55,615"
San Benito,"56,888",41.0,"$67,874"
San Bernardino,"2,078,586",103.6,"$54,100"
San Diego,"3,183,143",756.7,"$63,996"
San Francisco,"829,072","17,680.1","$78,378"
San Joaquin,"701,050",503.9,"$53,253"
San Luis Obispo,"274,184",83.1,"$59,454"
San Mateo,"739,837","1,649.7","$91,421"
Santa Barbara,"431,555",157.8,"$63,409"
Santa Clara,"1,841,569","1,427.3","$93,854"
Santa Cruz,"267,203",600.2,"$66,923"
Shasta,"178,520",47.3,"$44,556"
Sierra,"3,019",3.2,"$43,107"
Siskiyou,"44,261",7.1,"$37,495"
Solano,"421,624",513.1,"$67,341"
Sonoma,"491,790",312.1,"$63,799"
Stanislaus,"522,794",349.8,"$49,573"
Sutter,"95,067",157.8,"$51,527"
Tehama,"63,284",21.5,"$42,369"
Trinity,"13,515",4.3,"$36,862"
Tulare,"451,108",93.5,"$42,863"
Tuolumne,"54,347",24.5,"$48,493"
Ventura,"835,790",453.5,"$77,335"
Yolo,"204,162",201.2,"$55,508"
Yuba,"73,059",115.6,"$45,470"
